"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (Bytes)","Transferred (Bytes)","Total Transferred (Bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://www.unityverseacademy.com/kategori/senaryo-sinema-ve-yonetmenlik-egitimleri-252/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Senaryo, Sinema ve Yönetmenlik Eğitimleri","41","382","Senaryo, Sinema ve Yönetmenlik Eğitimleri","41","259","","0","Senaryo, Sinema ve Yönetmenlik Eğitimleri","41","","0","","0","","0","","","","https://unityverseacademy.com/kategori/senaryo-sinema-ve-yonetmenlik-egitimleri-252/","","","","","","135099","28703","28703","4,254","","593","189","3,138","59,274","Fairly Hard","3,655","1","2","","467","210","0","93,330","103","49","0","7","7","0","","","","","62cc385e03e0653989f9db84b2a86485","0,871","","","","","tr","1.1","","","","","","https://www.unityverseacademy.com/kategori/senaryo-sinema-ve-yonetmenlik-egitimleri-252/","2026-07-27 17:45:31"
"https://www.unityverseacademy.com/uploads/p/p/s/unity-ile-oyun-gelistirme-canli-online-egitimi-staj-garantili_1.jpeg?v=1781632188","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","49870","49870","49870","7,391","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,384","Thu, 18 Jun 2026 12:21:14 GMT","","","","","1.1","","","","","","https://www.unityverseacademy.com/uploads/p/p/s/unity-ile-oyun-gelistirme-canli-online-egitimi-staj-garantili_1.jpeg?v=1781632188","2026-07-27 17:45:32"
"https://www.unityverseacademy.com/uploads/p/p/s/autodesk-fusion-360-endustriyel-urun-tasarimi-uzmanligi-canli-online-egitimi_1.jpg?v=1762940099","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","36817","36817","36817","5,456","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,391","Wed, 17 Jun 2026 19:04:47 GMT","","","","","1.1","","","","","","https://www.unityverseacademy.com/uploads/p/p/s/autodesk-fusion-360-endustriyel-urun-tasarimi-uzmanligi-canli-online-egitimi_1.jpg?v=1762940099","2026-07-27 17:45:32"
"https://www.unityverseacademy.com/urun/2b-cizgi-film-ve-animasyon-uzmanligi-canli-online-egitimi-565/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","2B Çizgi Film ve Animasyon Uzmanlığı Canlı (Online) Eğitimi","59","533","2026 Python bootcamp sıfırdan ileri seviye online kursu. Yapay zeka, veri bilimi ve otomasyon için Python öğrenin!","114","698","Python bootcamp online, sıfırdan Python 2026, yapay zeka Python kursu, online Python eğitimi","92","2B Çizgi Film ve Animasyon Uzmanlığı Canlı (Online) Eğitimi","59","","0","2B Çizgi Film ve Animasyon Uzmanlığı Eğitimi Eğitmen: Nevin Eryılmaz (CV için tıklayınız.) Nevin Eryılmaz, geleneksel ve dijital tasarım alanlarındaki 20 yılı aşkın sektör deneyimi yanı sıra, İstinye Üniversitesi'nde Bilgisayar Destekli Tasarım ve Animasyon önlisans ve Dijital Oyun Tasarımı lisans programlarının kurucusudur. Üniversitenin Dijital Oyun Tasarımı bölümündeki tasarım ve yazılım merkezli eğitim anlayışının öncüsü olmakla beraber, 2021 yılında aynı üniversitede Türkiye'nin ilk YÖK onaylı Dijital Oyun Araştırma Merkezi olan Dijital Oyun Geliştirme ve Animasyon Araştırma Uygulama Merkezi'ni kurmuştur ve iki sene boyunca Merkez Müdürü olarak görev almıştır. Merkez'de üniversitenin Animasyon ve Dijital Oyun Tasarımı programlarındaki öğrencilerin kendi oyunlarını geliştirerek oyun marketlerinde yayınlaması ve ticarileşmeleri desteklenmiştir. Eryılmaz'ın sektör ve akademi deneyimli kadrosunun etkisi ile, İstinye Üniversitesi Dijital Oyun Tasarımı bölümü iki senede Türkiye'nin ilk tercih edilen 3 üniversitesi arasına yerleşmiştir. Eryılmaz'ın Milli Eğitim Bakanlığı ve çeşitli dijital oyun şirketleri ortaklığında gerçekleşen proje ve çalışmaları devam etmektedir.","1184","Öğr. Gör. Nevin Eryılmaz'ın katıldığı programlardan bir kaçı:","61","","","","https://unityverseacademy.com/urun/2026-python-bootcamp-sifirdan-python-canli-online-egitimi-8/","","","","","","170081","56189","56189","8,327","","1885","414","4,553","9,092","Very Hard","9,498","1","2","","54","7","0","3,110","111","46","0","11","11","0","","","","","523e133058a35ad45ba89aa6f9a2c28f","0,281","","","","","tr","1.1","","","","","","https://www.unityverseacademy.com/urun/2b-cizgi-film-ve-animasyon-uzmanligi-canli-online-egitimi-565/","2026-07-27 17:45:32"
"https://www.unityverseacademy.com/uploads/p/p/s/2024-python-bootcamp-sifirdan-python-canli-online-egitimi_2.jpeg?v=1713608100","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","54639","54639","54639","8,097","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,126","Wed, 17 Jun 2026 19:04:47 GMT","","","","","1.1","","","","","","https://www.unityverseacademy.com/uploads/p/p/s/2024-python-bootcamp-sifirdan-python-canli-online-egitimi_2.jpeg?v=1713608100","2026-07-27 17:45:32"
"https://www.unityverseacademy.com/sayfa/kisisel-verilerin-korunmasi-hakkinda-aydinlatma-bildirimi-29/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Kişisel Verilerin Korunması Hakkında Aydınlatma Bildirimi","57","513","Kişisel Verilerin Korunması Hakkında Aydınlatma Bildirimi","57","351","Kişisel Verilerin Korunması Hakkında Aydınlatma Bildirimi","57","Kişisel Verilerin Korunması Hakkında Aydınlatma Bildirimi","57","","0","","0","","0","","","","https://unityverseacademy.com/sayfa/kisisel-verilerin-korunmasi-hakkinda-aydinlatma-bildirimi-29/","","","","","","113885","28033","28033","4,154","","2534","461","5,497","0,000","Very Hard","19,860","1","2","","212","210","0","93,330","64","40","0","7","7","0","","","","","e680af4a43205ae91144e53c6f20d140","0,997","","","","","tr","1.1","","","","","","https://www.unityverseacademy.com/sayfa/kisisel-verilerin-korunmasi-hakkinda-aydinlatma-bildirimi-29/","2026-07-27 17:45:32"
"https://www.unityverseacademy.com/uploads/p/cd/9svlyhQm8Piz.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","2865","2865","2865","0,425","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,721","Thu, 18 Jun 2026 12:21:14 GMT","","","","","1.1","","","","","","https://www.unityverseacademy.com/uploads/p/cd/9svlyhQm8Piz.png","2026-07-27 17:45:32"
"https://www.unityverseacademy.com/uploads/p/cd/yNjxbAfrewsU.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","32142","32142","32142","4,763","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,954","Thu, 18 Jun 2026 12:21:14 GMT","","","","","1.1","","","","","","https://www.unityverseacademy.com/uploads/p/cd/yNjxbAfrewsU.webp","2026-07-27 17:45:32"
"https://www.unityverseacademy.com/uploads/p/p/s/blender-3b-oyun-modelleme-canli-online-egitim_1.jpg?v=1762940609","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","42457","42457","42457","6,292","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,822","Wed, 17 Jun 2026 19:04:47 GMT","","","","","1.1","","","","","","https://www.unityverseacademy.com/uploads/p/p/s/blender-3b-oyun-modelleme-canli-online-egitim_1.jpg?v=1762940609","2026-07-27 17:45:33"
"https://www.unityverseacademy.com/uploads/p/o/yfTW41vdMOxS.jpg?v=1701783131","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","3327","3327","3327","0,493","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,702","Wed, 17 Jun 2026 19:04:47 GMT","","","","","1.1","","","","","","https://www.unityverseacademy.com/uploads/p/o/yfTW41vdMOxS.jpg?v=1701783131","2026-07-27 17:45:33"
"https://www.unityverseacademy.com/siparis-takip/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Sipariş Takip","13","115","Sipariş Takip","13","79","Sipariş Takip","13","","0","","0","Sipariş Takip","13","","0","","","","https://unityverseacademy.com/siparis-takip/","","","","","","91373","22630","22630","3,354","","235","80","2,938","66,693","Normal","2,675","1","1","","422","210","0","93,330","64","40","0","7","7","0","","","","","3a770e3e95b05f706557d503e5a0b93c","0,538","","","","","tr","1.1","","","","","","https://www.unityverseacademy.com/siparis-takip/","2026-07-27 17:45:33"
"https://www.unityverseacademy.com/public/tema10/js/dcjqaccordion/jquery.dcjqaccordion.2.8.min.js?v=5.4.94","application/javascript; charset=UTF-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,464","Wed, 17 Jun 2026 19:04:45 GMT","","","","","1.1","","","","","","https://www.unityverseacademy.com/public/tema10/js/dcjqaccordion/jquery.dcjqaccordion.2.8.min.js?v=5.4.94","2026-07-27 17:45:33"
"https://www.unityverseacademy.com/kategori/oyun-gelistirme-ozel-ders-272/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Oyun Geliştirme Özel Ders","25","234","Oyun Geliştirme Özel Ders, Özel Dersler","39","238","","0","Oyun Geliştirme Özel Ders","25","","0","","0","","0","","","","https://unityverseacademy.com/kategori/oyun-gelistirme-ozel-ders-272/","","","","","","123807","28168","28168","4,174","","497","164","3,030","73,710","Fairly Easy","3,376","1","2","","226","210","0","93,330","91","44","0","7","7","0","","","","","845894543b51468a1a91de2b857b5999","0,960","","","","","tr","1.1","","","","","","https://www.unityverseacademy.com/kategori/oyun-gelistirme-ozel-ders-272/","2026-07-27 17:45:32"
"https://www.unityverseacademy.com/blog-detay/oguzhan-durakin-grafik-tasarim-ve-video-kurgu-alanindaki-yolculugu-100/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Oğuzhan Durak'ın Grafik Tasarım ve Video Kurgu Alanındaki Yolculuğu","67","623","Oğuzhan Durak","13","97","unreal engine,","14","Oğuzhan Durak'ın Grafik Tasarım ve Video Kurgu Alanındaki Yolculuğu","67","","0","","0","","0","","","","https://unityverseacademy.com/blog-detay/oguzhan-durakin-grafik-tasarim-ve-video-kurgu-alanindaki-yolculugu-100/","","","","","","98409","25108","25108","3,721","","683","150","4,553","35,491","Hard","5,939","1","2","","17","4","0","1,780","76","52","0","8","8","0","","","","","f49be47314b4d176d2780fd2d198e86c","0,289","","","","","tr","1.1","","","","","","https://www.unityverseacademy.com/blog-detay/oguzhan-durakin-grafik-tasarim-ve-video-kurgu-alanindaki-yolculugu-100/","2026-07-27 17:45:34"
"https://www.unityverseacademy.com/public/tema10/font-awesome/css/font-awesome.min.css?v=5.4.94","text/css; charset=UTF-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,092","Wed, 17 Jun 2026 19:04:45 GMT","","","","","1.1","","","","","","https://www.unityverseacademy.com/public/tema10/font-awesome/css/font-awesome.min.css?v=5.4.94","2026-07-27 17:45:34"
