title,slug,productid,missing_tab_dataids,url
Adobe Photoshop Yüz Yüze Eğitim 1 ay,adobe-photoshop-yuz-yuze-egitim-1-ay-1192,1192,Ders İçerikleri: 552; Detaylı Müfredat: 607,/urun/adobe-photoshop-yuz-yuze-egitim-1-ay-1192/
Adobe Premiere Pro ile Video Kurgu Özel Ders Yüz yüze 16 SAAT,adobe-premiere-pro-ile-video-kurgu-ozel-ders-yuz-yuze-16-saat-1401,1401,Detaylı Müfredat: 1493,/urun/adobe-premiere-pro-ile-video-kurgu-ozel-ders-yuz-yuze-16-saat-1401/
Adobe Premiere Pro ile Video Kurgu Özel Ders Yüz yüze - 20 SAAT,adobe-premiere-pro-ile-video-kurgu-ozel-ders-yuz-yuze-20-saat-1605,1605,Detaylı Müfredat: 1758,/urun/adobe-premiere-pro-ile-video-kurgu-ozel-ders-yuz-yuze-20-saat-1605/
Adobe Premiere Pro ile Video Kurgu Özel Ders Yüz yüze 8 SAAT,adobe-premiere-pro-ile-video-kurgu-ozel-ders-yuz-yuze-8-saat-1400,1400,Detaylı Müfredat: 1493,/urun/adobe-premiere-pro-ile-video-kurgu-ozel-ders-yuz-yuze-8-saat-1400/
After Effects ile Dijital Prodüksiyon ve Kurgu Uzmanlığı Canlı (Online) Eğitim 3 ay,after-effects-ile-dijital-produksiyon-ve-kurgu-uzmanligi-canli-online-egitim-3-ay-1193,1193,Ders İçerikleri: 53,/urun/after-effects-ile-dijital-produksiyon-ve-kurgu-uzmanligi-canli-online-egitim-3-ay-1193/
After Effects ve Premiere Pro ile Video Kurgu Eğitimi,after-effects-ve-premiere-pro-ile-video-kurgu-egitimi-592,592,Ders İçerikleri: 663,/urun/after-effects-ve-premiere-pro-ile-video-kurgu-egitimi-592/
Aranan 3D Artist Olma Yüz Yüze Kampı 6 ay,aranan-3d-artist-olma-yuz-yuze-kampi-6-ay-1199,1199,Ders İçerikleri: 1041,/urun/aranan-3d-artist-olma-yuz-yuze-kampi-6-ay-1199/
Aranan Programcı Olma Canlı (Online) Kamp Kursu 10 ay (Staj Garantili),aranan-programci-olma-canli-online-kamp-kursu-10-ay-staj-garantili-1159,1159,Ders İçerikleri: 89,/urun/aranan-programci-olma-canli-online-kamp-kursu-10-ay-staj-garantili-1159/
Aranan Programcı Olma Kampı Online Kursu 4 ay,aranan-programci-olma-kampi-online-kursu-4-ay-1502,1502,DERS İÇERİKLERİ: 1306,/urun/aranan-programci-olma-kampi-online-kursu-4-ay-1502/
Aranan Programcı Olma Kampı Online Kursu 8 ay,aranan-programci-olma-kampi-online-kursu-8-ay-1503,1503,DERS İÇERİKLERİ: 1306,/urun/aranan-programci-olma-kampi-online-kursu-8-ay-1503/
Aranan Programcı Olma Kampı Yüz Yüze Kursu 10 ay (Staj Garantili),aranan-programci-olma-kampi-yuz-yuze-kursu-10-ay-staj-garantili-1353,1353,Ders İçerikleri: 553,/urun/aranan-programci-olma-kampi-yuz-yuze-kursu-10-ay-staj-garantili-1353/
Aranan Programcı Olma Kampı Yüz Yüze Kursu 4 ay,aranan-programci-olma-kampi-yuz-yuze-kursu-4-ay-1500,1500,DERS İÇERİKLERİ: 1300,/urun/aranan-programci-olma-kampi-yuz-yuze-kursu-4-ay-1500/
Aranan Programcı Olma Kampı Yüz Yüze Kursu 8 ay,aranan-programci-olma-kampi-yuz-yuze-kursu-8-ay-1499,1499,Ders İçerikleri: 1520; DERS İÇERİKLERİ: 1300,/urun/aranan-programci-olma-kampi-yuz-yuze-kursu-8-ay-1499/
AutoCAD Eğitimi 24 Saat,autocad-egitimi-24-saat-1127,1127,Ders İçerikleri: 1649,/urun/autocad-egitimi-24-saat-1127/
AutoCAD Eğitimi Özel Ders 10 SAAT,autocad-egitimi-ozel-ders-10-saat-1631,1631,Ders İçerikleri: 1648,/urun/autocad-egitimi-ozel-ders-10-saat-1631/
AutoCAD Eğitimi Özel Ders 20 SAAT,autocad-egitimi-ozel-ders-20-saat-1632,1632,Ders İçerikleri: 1648,/urun/autocad-egitimi-ozel-ders-20-saat-1632/
