"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (Bytes)","Transferred (Bytes)","Total Transferred (Bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://unityverseacademy.com/form/hemen-bilgi-al-1/","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","0","0","","0","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","2","","510","170","0","97,700","0","0","0","0","0","0","","","","","","","","","","","","None","","","","","","https://unityverseacademy.com/form/hemen-bilgi-al-1/","2026-07-30 13:41:02"
"https://unityverseacademy.com/uye-ol/","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","0","0","","0","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","1","","348","174","0","100,000","0","0","0","0","0","0","","","","","","","","","","","","None","","","","","","https://unityverseacademy.com/uye-ol/","2026-07-30 13:41:02"
"https://unityverseacademy.com/uye/sepet/","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","0","0","","0","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","2","","170","170","0","97,700","0","0","0","0","0","0","","","","","","","","","","","","None","","","","","","https://unityverseacademy.com/uye/sepet/","2026-07-30 13:41:02"
"https://unityverseacademy.com/sifremi-unuttum/","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","0","0","","0","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","1","","174","174","0","100,000","0","0","0","0","0","0","","","","","","","","","","","","None","","","","","","https://unityverseacademy.com/sifremi-unuttum/","2026-07-30 13:41:03"
"https://unityverseacademy.com/Captcha?width=100&height=34&characters=6&type=askus","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","0","0","","0","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","0","","0","0","0","0,000","0","0","0","0","0","0","","","","","","","","","","","","None","","","","","","https://unityverseacademy.com/Captcha?width=100&height=34&characters=6&type=askus","2026-07-30 13:41:03"
"https://unityverseacademy.com/uye-girisi/","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","0","0","","0","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","1","","176","174","0","100,000","0","0","0","0","0","0","","","","","","","","","","","","None","","","","","","https://unityverseacademy.com/uye-girisi/","2026-07-30 13:41:05"
"https://unityverseacademy.com/marka/unityverse-academy-1/","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","0","0","","0","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","2","","670","128","0","73,560","0","0","0","0","0","0","","","","","","","","","","","","None","","","","","","https://unityverseacademy.com/marka/unityverse-academy-1/","2026-07-30 13:41:06"
"https://unityverseacademy.com/uye/fatura-teslimat/","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","0","0","","0","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","2","","170","170","0","97,700","0","0","0","0","0","0","","","","","","","","","","","","None","","","","","","https://unityverseacademy.com/uye/fatura-teslimat/","2026-07-30 13:41:07"
"https://unityverseacademy.com/siparis-takip/","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","0","0","","0","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","1","","340","170","0","97,700","0","0","0","0","0","0","","","","","","","","","","","","None","","","","","","https://unityverseacademy.com/siparis-takip/","2026-07-30 13:41:07"
