"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (Bytes)","Transferred (Bytes)","Total Transferred (Bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://unityverseacademy.com/","text/html; charset=utf-8","200","OK","Indexable","","En İyi Staj Garantili Yazılım, Oyun ve Tasarım Kursları","55","471","En iyi Staj garantili yazılım, oyun, uygulama geliştirme, grafik tasarım, siber güvenlik eğitimleri,  E-devlet ve uluslararası sertifikalarla meslek kursları","157","892","staj garantili eğitim, yazılım kursu, oyun geliştirme, grafik tasarım, siber güvenlik, 3D modelleme, mobil uygulama geliştirme, yapay zeka, e-devlet sertifikası, meslek kursları","177","En çok tercih edilen eğitimler","30","Eğitmenlerimiz","14","'","1","","0","","","","https://unityverseacademy.com/","","","","","","233229","40758","40758","6,040","","2242","503","4,457","13,716","Very Hard","8,070","0","0","","732","174","0","100,000","265","76","0","7","7","0","","","","","f97c77603b987c374a25b49fff87e8dd","0,165","","","","","tr","1.1","","","","","","https://unityverseacademy.com/","2026-07-30 13:41:00"
"https://unityverseacademy.com/kategori/animasyon-egitimleri-248/","text/html; charset=utf-8","200","OK","Indexable","","Animasyon Eğitimleri","20","189","Animasyon Eğitimleri","20","130","","0","Animasyon Eğitimleri","20","","0","","0","","0","","","","https://unityverseacademy.com/kategori/animasyon-egitimleri-248/","","","","","","141940","29011","29011","4,299","","630","203","3,103","63,222","Normal","3,613","1","2","","394","174","0","100,000","112","51","0","7","7","0","","","","","f58563d947190bd711452194d7d1c19","0,102","","","","","tr","1.1","","","","","","https://unityverseacademy.com/kategori/animasyon-egitimleri-248/","2026-07-30 13:41:00"
"https://unityverseacademy.com/urun/autodesk-fusion-360-endustriyel-urun-tasarimi-uzmanligi-canli-online-egitimi-584/","text/html; charset=utf-8","200","OK","Indexable","","Autodesk Fusion 360 Endüstriyel Ürün Tasarımı Uzmanlığı Canlı (Online) Eğitimi","78","707","Autodesk Fusion 360 Endüstriyel Ürün Tasarımı Uzmanlığı Canlı (Online) Eğitimi, katılımcılara endüstriyel ürünlerin tasarımı, geliştirilmesi ve üretim aşamalarına uygun şekilde projeler oluşturma yeteneği kazandırır. Bu eğitimd","227","1371","Autodesk Fusion 360, Endüstriyel Ürün Tasarımı, Canlı Online Eğitim, 3D Modelleme, CAD Yazılımı, Ürün Tasarımı, Fusion 360 Eğitimi, Teknik Çizim, Hareket Analizi, Endüstriyel Tasarım, Endüstriyel Ürün Geliştirme, Fusion 360 Uzmanlığı, Montaj Tasarımı, Render Alma, Üretim Süreçleri, CAD Tasarım, Endüstriyel Tasarım Eğitimi, Fusion 360 Kursu, Tasarım Yazılımı, Endüstriyel Ürün Tasarımı Eğitimi.","395","Autodesk Fusion 360 Endüstriyel Ürün Tasarımı Uzmanlığı Canlı (Online) Eğitimi","78","","0","Autodesk Fusion 360 Endüstriyel Ürün Tasarımı","45","Ne Öğreneceğim?","15","","","","https://unityverseacademy.com/urun/autodesk-fusion-360-endustriyel-urun-tasarimi-uzmanligi-canli-online-egitimi-584/","","","","","","205411","64220","64220","9,517","","2218","470","4,719","6,641","Very Hard","9,356","1","2","","12","4","0","2,300","77","47","0","12","12","0","","","","","e8cd140447dbc8a09e6ac93bbd2eac76","0,087","","","","","tr","1.1","","","","","","https://unityverseacademy.com/urun/autodesk-fusion-360-endustriyel-urun-tasarimi-uzmanligi-canli-online-egitimi-584/","2026-07-30 13:41:00"
"https://unityverseacademy.com/urun/desinatorluk-canli-online-egitimi-563/","text/html; charset=utf-8","200","OK","Indexable","","Desinatörlük & Desen Tasarım Kursu | Online","43","398","Desinatörlük ve tekstil desen tasarım canlı online kursu. Evinizden baskı desen ve kumaş tasarımı öğrenin!","106","648","desinatörlük kursu online, tekstil desen eğitimi online, grafik tasarım kursu desen tasarım","91","Desinatörlük & Tekstil Desen Tasarım Kursu – Online Canlı","57","","0","Desinatörlük & Tekstil Desen Tasarım Kursu – Online Canlı Eğitim","64","Öğr. Gör. Nevin Eryılmaz'ın katıldığı programlardan bir kaçı:","61","","","","https://unityverseacademy.com/urun/desinatorluk-canli-online-egitimi-563/","","","","","","198611","50192","50192","7,438","","3297","737","4,474","15,723","Very Hard","13,723","1","2","","14","4","0","2,300","75","43","0","12","12","0","","","","","dd51adb80a70792a97ea8344239e300e","0,293","","","","","tr","1.1","","","","","","https://unityverseacademy.com/urun/desinatorluk-canli-online-egitimi-563/","2026-07-30 13:41:00"
"https://unityverseacademy.com/sayfa/iptal-ve-iade-kosullari-28/","text/html; charset=utf-8","200","OK","Indexable","","İptal ve İade Koşulları","23","191","İptal ve İade Koşulları","23","132","İptal ve İade Koşulları","23","İptal ve İade Koşulları","23","","0","","0","","0","","","","https://unityverseacademy.com/sayfa/iptal-ve-iade-kosullari-28/","","","","","","93112","23442","23442","3,474","","535","128","4,180","34,025","Hard","5,275","1","2","","176","174","0","100,000","64","40","0","7","7","0","","","","","6f53fe377507d1274a9ae57046b0bb27","0,078","","","","","tr","1.1","","","","","","https://unityverseacademy.com/sayfa/iptal-ve-iade-kosullari-28/","2026-07-30 13:41:00"
"https://unityverseacademy.com/kategori/oyun-gelistirme-egitimleri-244/","text/html; charset=utf-8","200","OK","Indexable","","Oyun Geliştirme Eğitimleri","26","233","Oyun sektörü hızla büyüyor. Eğer sende bu büyümeye ayak uydurmak istiyorsan bizimle hemen iletişime geç.","104","666","","0","Oyun Geliştirme Eğitimleri","26","","0","","0","","0","","","","https://unityverseacademy.com/kategori/oyun-gelistirme-egitimleri-244/","","","","","","174997","30589","30589","4,533","","971","274","3,544","62,441","Normal","4,126","1","2","","422","174","0","100,000","154","65","0","7","7","0","","","","","c92d54c31a3f979d289657324a9b8d4","0,381","","","","","tr","1.1","","","","","","https://unityverseacademy.com/kategori/oyun-gelistirme-egitimleri-244/","2026-07-30 13:41:00"
"https://unityverseacademy.com/sayfa/uyelik-sozlesmesi-ve-gizlilik-politikasi-27/","text/html; charset=utf-8","200","OK","Indexable","","Üyelik Sözleşmesi ve Gizlilik Politikası","40","338","Üyelik Sözleşmesi ve Gizlilik Politikası","40","226","Üyelik Sözleşmesi ve Gizlilik Politikası","40","Üyelik Sözleşmesi ve Gizlilik Politikası","40","","0","Google ile Giriş Hakkında Bilgilendirme","39","","0","","","","https://unityverseacademy.com/sayfa/uyelik-sozlesmesi-ve-gizlilik-politikasi-27/","","","","","","128972","34767","34767","5,152","","4217","790","5,338","0,000","Very Hard","28,555","1","2","","177","174","0","100,000","65","40","0","8","8","0","","","","","563bf1db9e235d1ce9b4a4e65871954d","0,358","","","","","tr","1.1","","","","","","https://unityverseacademy.com/sayfa/uyelik-sozlesmesi-ve-gizlilik-politikasi-27/","2026-07-30 13:41:01"
"https://unityverseacademy.com/urun/unity-ile-oyun-gelistirme-canli-online-egitimi-staj-garantili-17/","text/html; charset=utf-8","200","OK","Indexable","","Unity Oyun Geliştirme Kursu Online | Staj Garantili","51","443","Staj garantili Unity oyun geliştirme online kursu. Canlı derslerle C# programlama ve Unity ile 2D/3D oyun geliştirmeyi öğrenin. Hemen kayıt olun!","145","876","unity oyun geliştirme kursu, online oyun geliştirme eğitimi, C# Unity eğitimi, staj garantili oyun kursu","104","Unity ile Oyun Geliştirme Kursu – Online Canlı Eğitim (Staj Garantili)","70","","0","Unity ile Oyun Geliştirme Online Kursu – Staj Garantili C# Eğitimi","66","Ne Öğreneceğim?","15","","","","https://unityverseacademy.com/urun/unity-ile-oyun-gelistirme-canli-online-egitimi-staj-garantili-17/","","","","","","229353","55658","55658","8,249","","4528","877","5,163","12,721","Very Hard","16,245","1","2","","28","4","0","2,300","87","44","0","15","15","0","","","","","6f7ee6507dbcfe015a864d9d9f03ee8","0,103","","","","","tr","1.1","","","","","","https://unityverseacademy.com/urun/unity-ile-oyun-gelistirme-canli-online-egitimi-staj-garantili-17/","2026-07-30 13:41:01"
"https://unityverseacademy.com/kategori/mimarlik-egitimleri-259/","text/html; charset=utf-8","200","OK","Indexable","","Mimarlık Eğitimleri","19","168","Mimarlık Eğitimleri","19","113","","0","Mimarlık Eğitimleri","19","","0","","0","","0","","","","https://unityverseacademy.com/kategori/mimarlik-egitimleri-259/","","","","","","173306","30421","30421","4,508","","859","273","3,147","60,245","Normal","3,842","1","2","","415","174","0","100,000","154","65","0","7","7","0","","","","","7caa7bc6c9c8dd7e2aeaea66adda56a9","0,329","","","","","tr","1.1","","","","","","https://unityverseacademy.com/kategori/mimarlik-egitimleri-259/","2026-07-30 13:41:01"
"https://unityverseacademy.com/sayfa/hakkimizda-25/","text/html; charset=utf-8","200","OK","Indexable","","Hakkımızda","10","105","HAKKIMIZDA","10","83","HAKKIMIZDA","10","HAKKIMIZDA","10","","0","UNITYVERSE ACADEMY","18","Biz kimiz?","10","","","","https://unityverseacademy.com/sayfa/hakkimizda-25/","","","","","","102638","25631","25631","3,799","","926","208","4,452","2,328","Very Hard","8,406","1","2","","350","174","0","100,000","64","40","0","7","7","0","","","","","d34a995b3830ca777d103eacd211b1e9","0,272","","","","","tr","1.1","","","","","","https://unityverseacademy.com/sayfa/hakkimizda-25/","2026-07-30 13:41:01"
