"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Hash","Length","Canonical Link Element 1","URL Encoded Address"
"https://unityverseacademy.com/os/KARIYER-14/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","23972be48667a277d0f14e448a14d777","44","https://unityverseacademy.com/os/kariyer-is-14/","https://unityverseacademy.com/os/KARIYER-14/"
"https://unityverseacademy.com/os/KURUMSAL-EGITIMLER-10/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","e7a4f3b48161e878302c9750c8145a45","55","https://unityverseacademy.com/os/kurumsal-egitimler-10/","https://unityverseacademy.com/os/KURUMSAL-EGITIMLER-10/"
"https://unityverseacademy.com/uploads/fm/FEYYAZ_AĞIRMAN_CV_TR.pdf","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","","66","","https://unityverseacademy.com/uploads/fm/FEYYAZ_AG%CC%86IRMAN_CV_TR.pdf"
"https://unityverseacademy.com/uploads/fm/Resume.pdf","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","","51","","https://unityverseacademy.com/uploads/fm/Resume.pdf"
