"Address","Status Code","Title 1","Indexability","Indexability Status"
"https://unityverseacademy.com/","200","En İyi Staj Garantili Yazılım, Oyun ve Tasarım Kursları","Indexable",""
"https://unityverseacademy.com/kategori/animasyon-egitimleri-248/","200","Animasyon Eğitimleri","Indexable",""
"https://unityverseacademy.com/urun/autodesk-fusion-360-endustriyel-urun-tasarimi-uzmanligi-canli-online-egitimi-584/","200","Autodesk Fusion 360 Endüstriyel Ürün Tasarımı Uzmanlığı Canlı (Online) Eğitimi","Indexable",""
"https://unityverseacademy.com/urun/desinatorluk-canli-online-egitimi-563/","200","Desinatörlük & Desen Tasarım Kursu | Online","Indexable",""
"https://unityverseacademy.com/sayfa/iptal-ve-iade-kosullari-28/","200","İptal ve İade Koşulları","Indexable",""
"https://unityverseacademy.com/kategori/oyun-gelistirme-egitimleri-244/","200","Oyun Geliştirme Eğitimleri","Indexable",""
"https://unityverseacademy.com/sayfa/uyelik-sozlesmesi-ve-gizlilik-politikasi-27/","200","Üyelik Sözleşmesi ve Gizlilik Politikası","Indexable",""
"https://unityverseacademy.com/urun/unity-ile-oyun-gelistirme-canli-online-egitimi-staj-garantili-17/","200","Unity Oyun Geliştirme Kursu Online | Staj Garantili","Indexable",""
"https://unityverseacademy.com/kategori/mimarlik-egitimleri-259/","200","Mimarlık Eğitimleri","Indexable",""
"https://unityverseacademy.com/sayfa/hakkimizda-25/","200","Hakkımızda","Indexable",""
"https://unityverseacademy.com/blog-detay/suleyman-ozgonul-oyun-gelistiricilikte-zirveye-giden-yol-129/","200","Süleyman Özgönül: Oyun Geliştiricilikte Zirveye Giden Yol","Indexable",""
"https://unityverseacademy.com/urun/profesyonel-3b-modelleme-dijital-sanat-programi-online-1/","200","Profesyonel 3D Modelleme Kursu Online | 3D Artist","Indexable",""
"https://unityverseacademy.com/kategori/mimarlik-egitimleri-ozel-ders-274/","200","Mimarlık Eğitimleri Özel Ders","Indexable",""
"https://unityverseacademy.com/blog-detay/filiz-tumuklunun-yazilim-test-otomasyonu-egitimi-ve-kariyer-basarisi-90/","200","Filiz Tümüklü’nün Yazılım Test Otomasyonu Eğitimi ve Kariyer Başarısı","Indexable",""
"https://unityverseacademy.com/kategori/dijital-pazarlama-egitimleri-255/","200","Dijital Pazarlama Eğitimleri","Indexable",""
"https://unityverseacademy.com/kategori/ozel-dersler-256/","200","Özel Dersler","Indexable",""
"https://unityverseacademy.com/form/hemen-bilgi-al-1/","0","","Non-Indexable","Blocked by robots.txt"
