"Address","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Closest Near Duplicate Match","No. Near Duplicates","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","Total Language Errors","Spelling Errors","Grammar Errors","Language","Hash","Indexability","Indexability Status"
"https://unityverseacademy.com/","2242","503","4,457","13,716","Very Hard","","","","","","","","","","tr","f97c77603b987c374a25b49fff87e8dd","Indexable",""
"https://unityverseacademy.com/kategori/animasyon-egitimleri-248/","630","203","3,103","63,222","Normal","","","","","","","","","","tr","f58563d947190bd711452194d7d1c19","Indexable",""
"https://unityverseacademy.com/urun/autodesk-fusion-360-endustriyel-urun-tasarimi-uzmanligi-canli-online-egitimi-584/","2218","470","4,719","6,641","Very Hard","","","","","","","","","","tr","e8cd140447dbc8a09e6ac93bbd2eac76","Indexable",""
"https://unityverseacademy.com/urun/desinatorluk-canli-online-egitimi-563/","3297","737","4,474","15,723","Very Hard","","","","","","","","","","tr","dd51adb80a70792a97ea8344239e300e","Indexable",""
"https://unityverseacademy.com/sayfa/iptal-ve-iade-kosullari-28/","535","128","4,180","34,025","Hard","","","","","","","","","","tr","6f53fe377507d1274a9ae57046b0bb27","Indexable",""
"https://unityverseacademy.com/kategori/oyun-gelistirme-egitimleri-244/","971","274","3,544","62,441","Normal","","","","","","","","","","tr","c92d54c31a3f979d289657324a9b8d4","Indexable",""
"https://unityverseacademy.com/sayfa/uyelik-sozlesmesi-ve-gizlilik-politikasi-27/","4217","790","5,338","0,000","Very Hard","","","","","","","","","","tr","563bf1db9e235d1ce9b4a4e65871954d","Indexable",""
"https://unityverseacademy.com/urun/unity-ile-oyun-gelistirme-canli-online-egitimi-staj-garantili-17/","4528","877","5,163","12,721","Very Hard","","","","","","","","","","tr","6f7ee6507dbcfe015a864d9d9f03ee8","Indexable",""
"https://unityverseacademy.com/kategori/mimarlik-egitimleri-259/","859","273","3,147","60,245","Normal","","","","","","","","","","tr","7caa7bc6c9c8dd7e2aeaea66adda56a9","Indexable",""
"https://unityverseacademy.com/sayfa/hakkimizda-25/","926","208","4,452","2,328","Very Hard","","","","","","","","","","tr","d34a995b3830ca777d103eacd211b1e9","Indexable",""
"https://unityverseacademy.com/blog-detay/suleyman-ozgonul-oyun-gelistiricilikte-zirveye-giden-yol-129/","552","137","4,029","32,626","Hard","","","","","","","","","","tr","e62e3da9bce2073210ecf0066ac79a9b","Indexable",""
"https://unityverseacademy.com/urun/profesyonel-3b-modelleme-dijital-sanat-programi-online-1/","2580","551","4,682","7,338","Very Hard","","","","","","","","","","tr","9e241ca6b517ba54c4a4f7e328dc652b","Indexable",""
